id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,tick
0,288.095613,56.31683384,32.14813251,-260.7419024,-313.9535737,61.66331858,16.3519961,-78.64849591,-251.7368547,125.0702932,318.3548315,46.99579587,382.7871612,106.3960816,-66.93232099,231.0576637,543.6136356,166.2307684,-31.45569722,230.2480534,-163.3723236,-150.4008419,208.6280415,-10.64465911,214.6415413,-188.7340713,-124.3423215,-123.6121764,41.78152037,124.8748771,-155.8852328,-140.6831307,-74.93364723,-43.69633652,26.62401579,-70.90014164,-1.328452088,0.200485923,1
1,-531.9403766,780.7144921,493.6596007,273.1653929,-123.9548085,372.2664036,-161.8222826,-59.26330333,-1.656103861,-31.26136699,-46.49129284,-48.57649101,22.51179648,21.07112543,-42.22809417,-80.07823215,69.93010606,-39.73172901,-7.427666346,-64.45725487,44.85799587,-36.58199752,-36.31743917,11.58742882,-55.8298466,-10.84050988,-46.66275662,27.0261012,42.9795685,7.424816831,-51.41092681,-11.48585019,26.73694991,9.818731662,5.533957466,-11.89539171,-16.76210805,3.135341005,1
2,-531.933453,780.7118056,493.6546757,273.1731017,-123.9508804,372.2449536,-161.8110877,-59.26772388,-1.648890086,-31.25077153,-46.49576537,-48.5791587,22.51432838,21.09317159,-42.22128031,-80.08547594,69.91538166,-39.73539651,-7.400241785,-64.44244616,44.86527537,-36.58614235,-36.32060338,11.5958992,-55.8317538,-10.83044189,-46.66552333,27.02432935,42.96837868,7.420006561,-51.38450109,-11.46429289,26.73506653,9.815332058,5.538804527,-11.89703742,-16.77704842,3.135067622,1
3,-746.7547949,-267.8388272,-634.4028156,-441.2796976,-277.7002571,313.9954753,13.43481259,-40.22948494,64.57952209,37.05345374,-29.3851864,-151.6293042,-8.961245447,-123.2324025,-10.23080687,-66.68003893,-7.893679208,16.25670429,-39.7430022,-40.70450096,-9.616246976,41.17525368,26.46093544,-20.33499543,-31.33288942,-44.42677256,7.695156884,17.51368373,-6.447521807,-23.78359564,-18.93578447,-9.584852829,5.668362571,-3.085755399,0.016032892,-13.90556521,18.34555952,1.453490798,1
4,-746.7478713,-267.8415138,-634.4077406,-441.2719888,-277.6963289,313.9740254,13.4460075,-40.23390549,64.58673587,37.0640492,-29.38965892,-151.6319719,-8.958713548,-123.2103563,-10.22399301,-66.68728273,-7.908403607,16.2530368,-39.71557764,-40.68969224,-9.608967475,41.17110884,26.45777123,-20.32652505,-31.33479662,-44.41670458,7.692390165,17.51191187,-6.45871163,-23.78840591,-18.90935875,-9.563295536,5.666479193,-3.089155004,0.020879953,-13.90721093,18.33061915,1.453217414,1
5,217.8297021,-325.178247,-355.0353939,652.2914612,-141.0939318,246.7620892,-534.8795238,175.083467,393.9231821,-317.5703247,348.9372677,255.4158762,118.6253871,-244.4537195,108.3872742,207.371607,-51.97085983,51.49395139,-94.46306914,-70.16538281,-138.0059932,-182.6642735,-274.4966612,25.13347404,8.548403248,70.85273554,-62.51167352,-32.26643017,73.51828826,-46.67281368,-21.07574283,-63.91071244,-74.69167195,65.10942646,-11.04304188,32.43227046,-71.88857809,-24.37361004,1
6,119.5601211,-244.1378599,139.4134133,128.8766942,-300.9626452,224.5542612,-19.86490794,556.1429181,-107.0359397,-115.8826162,-288.0834999,-27.76883467,-388.9430484,424.6919092,39.90324912,412.8607628,160.3876811,19.42948864,-187.0718844,-203.45923,-141.798611,125.1747026,119.44987,-41.72803483,-36.94465526,19.06025174,201.3091257,64.5918422,-33.81087091,165.503661,116.3286416,-9.697646267,78.29278024,-56.20925643,-128.0065428,-22.6868394,51.77104883,-2.870266548,1
7,11.31986831,-733.2150973,778.8518304,-267.9311164,234.4829206,297.1251731,-67.64049437,-77.30302464,79.55771286,116.6395883,-84.53251513,94.82976214,41.57698069,-150.9871486,-26.53640229,-104.2840754,74.74291057,-26.17139345,15.98108394,-5.400400388,20.26637353,7.297959379,18.65838559,-51.89994833,-24.55937813,-31.2812714,59.57257071,1.69869504,16.42450342,-92.14322683,17.89653635,-52.77229659,-5.224307449,64.31390729,1.486214316,4.197295959,40.24559062,-414.6088464,-1
8,10.64818362,-706.0804297,747.6826277,-334.5801781,180.1832101,289.0723088,-38.80085346,-84.15968408,79.15201331,69.6615248,-28.94789906,154.171414,9.994623149,-121.049202,12.46345969,-46.54203418,-35.90261939,1.788616846,-29.21949021,-15.61159212,10.00077279,-1.525383075,-74.93503998,35.50194246,15.97996956,4.198844411,-15.89846829,28.78408967,-12.79298459,39.1144408,-33.39541616,-24.63937442,8.260618976,6.069488597,19.60020387,-12.58743909,-28.69415101,441.9991507,-1
9,314.2703397,348.8825564,-165.2189827,-390.1900424,458.6878573,481.724584,203.6136376,433.1570685,-448.0770315,-223.3290362,383.8703476,84.02168943,-156.6820566,-227.1493797,-314.2152102,23.06549344,-222.7816252,-136.0068742,196.8772278,196.8874586,-107.9360637,-37.49969053,-18.07204751,-38.87092534,-84.42087748,87.84581733,15.53869406,0.937525131,51.81989222,70.3610488,64.22878562,32.51353238,-8.205487187,44.09227934,-36.31957202,-29.27754146,2.572976289,-9.921794396,1
10,265.6546336,303.8528634,62.85669651,-270.6498093,-21.45044458,-120.5690733,78.40344163,173.8726567,279.9053149,-253.1157907,190.6636221,-29.92739672,-256.0421823,-211.6839502,449.5926016,35.55584028,187.3135836,-49.32172281,203.1905619,-80.75064321,246.8954539,383.8708448,0.777554213,23.80292263,137.1882214,-199.5894182,146.5388395,-133.7951217,44.33988819,-99.91743851,-255.5077445,67.23619857,-51.33643878,151.4596647,15.50726055,-27.61751853,96.27082268,16.68221308,1
11,-52.57940545,313.1557706,-145.838069,-219.7040564,80.0826503,-160.8804301,135.8560198,-289.182238,-162.557834,120.2926657,-423.6391374,592.5784971,-73.59596231,-229.9730353,-168.8867297,459.5934869,-141.0004201,355.9696044,-104.0372036,-128.6966761,178.308498,10.99568066,-176.0653881,72.72757212,-52.98775564,-74.15170633,-0.364755953,-94.8946135,14.22970457,26.70435915,-43.39347545,-28.60039812,-83.0407584,65.6792004,-103.9280555,-51.55404092,-33.73637437,-30.79055497,1
12,217.3741798,57.23881481,14.07037605,96.47017786,49.96822234,-85.90700628,37.82831673,-159.2629509,125.1154277,-72.37062992,131.24322,-195.5695167,-226.0616939,-15.67864277,-242.4363547,-395.6731009,-84.32661064,491.8866071,-165.6451015,-34.9135821,-65.35114846,-156.884192,-11.84124967,-291.642602,85.57095326,-33.40748499,385.538197,-220.9028315,45.27635427,110.7947827,-150.2749656,16.76841394,108.1234675,-84.21845036,-94.65150849,117.4786109,-48.02108701,8.644284617,1
