id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,tick
0,16.63020298,-22.16858263,0.328908513,5.890145798,8.539790134,1.93324698,0.065702808,1.273298239,-0.647889149,-0.837149196,-0.582253616,-0.54747692,0.122911622,-0.348796542,-0.18385753,-0.127103869,0.14063481,1
1,-13.72766987,-22.24666436,-0.440903258,1.462397452,1.247634256,-4.526633593,0.444621914,-0.629603853,-0.488646164,-0.420830762,-0.187540184,0.23621996,-0.179189505,-0.06526154,0.043679204,0.095192079,-0.177221322,1
2,-13.68902063,-21.41796353,-0.951115676,1.275496599,1.141060203,-4.56787507,0.448497471,-0.613376345,-0.481872824,-0.369933826,-0.184497174,0.215334935,-0.181667639,-0.072316786,0.041893207,0.094972873,-0.171367732,1
3,-19.84906346,-19.40162995,-1.141315453,1.981073071,1.475848037,4.828728193,0.581516108,-1.523642552,1.193412863,0.200497563,0.253956293,0.565484744,-0.589179169,-0.433935652,0.052319957,0.054335135,0.082599917,1
4,-19.81041422,-18.57292913,-1.651527871,1.794172218,1.369273983,4.787486716,0.585391665,-1.507415044,1.200186203,0.251394499,0.256999303,0.54459972,-0.591657303,-0.440990899,0.050533959,0.054115928,0.088453508,1
5,-2.584266779,-18.91939917,-4.530777313,9.886693143,-5.140308205,4.378907473,0.78107051,-0.770881718,-0.708924656,-0.815282899,0.270531016,-0.336709233,0.923343215,0.423739563,-0.149067808,0.18410293,0.053350639,1
6,-4.13922313,-15.54009991,3.654751711,-3.141150188,-1.04578416,-4.581616188,-1.035924359,0.674468271,-0.51104434,0.189606793,-0.558261012,-0.113496577,-0.314098758,0.129038916,0.147414133,0.048111088,0.325751153,1
7,-8.976904628,-16.10793634,-1.293906762,-0.572306505,2.059183346,-2.309694222,0.062656737,2.089727341,0.134247748,0.041420834,0.384713658,-0.747645961,0.238505541,0.102636543,-0.044800856,-0.304560885,-0.017622388,-1
8,-9.521021667,-15.11174342,-1.208866861,-2.269988984,2.890607076,-2.682366929,1.186247368,2.928105358,-0.251497428,-0.097113454,0.454611247,-0.009191609,-0.254592523,-0.165690339,0.234381043,-0.203089589,-0.168488873,-1
9,23.60419577,-17.45965056,-3.546873745,-0.239333583,-7.101023123,3.099290687,-0.902508191,0.530282127,-1.167562617,1.237694208,-0.02183282,-0.495256547,-0.696333069,-0.188974613,0.191373177,0.160522161,0.00656292,1
