id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,tick
0,36.00078873,7.15416396,-20.23605475,11.73665938,5.538032834,-21.57366673,-16.2795631,24.7763785,4.060541957,-2.598853398,-2.477580057,-11.9948762,-0.359806287,1.994920769,-5.839991471,-0.851559297,-1.983000721,-0.386762787,-0.561795659,1.638815836,-3.33337869,0.233772566,0.574610933,0.805811407,0.278835106,1.150620207,-0.013424902,0.189637579,0.04781632,0.040644565,0.242100014,-0.162186093,-0.097926319,0.092020441,1
1,-27.33613343,31.51617158,-11.81755496,-0.004048957,16.35402168,25.52116418,-0.621810854,0.856507389,-1.925353458,5.400417347,-2.871198261,-4.660968761,1.523686348,-4.76021973,1.506574613,1.823858369,2.584335673,-1.433717229,-0.803216426,0.566099634,-0.30147828,-1.134404081,0.340897484,0.32666327,-0.832838953,0.909430653,-0.718813199,-0.129237556,0.078603642,0.24372226,-0.025438025,0.068579528,0.103927684,-0.01980386,1
2,-27.32842524,31.36407384,-11.63495222,0.09959584,16.25837716,25.11010215,-0.116849576,0.208151096,-2.138429614,5.397238991,-2.991491145,-4.659223884,1.497877376,-4.828527815,1.512188587,1.791730262,2.604629767,-1.478921512,-0.812000294,0.613291493,-0.26595626,-1.139773819,0.309759935,0.307902807,-0.806070883,0.934056849,-0.698940715,-0.148845383,0.080867171,0.26708091,-0.01803408,0.039099696,0.122835241,-0.019416994,1
3,-38.49946291,32.34020179,-6.359028141,1.732672779,13.27469222,-12.71275801,-18.69494819,8.714931068,-4.688086115,-5.414078523,6.266996221,5.186095851,-3.828279699,0.349317121,2.698662863,-1.451723452,-1.559688703,0.024603751,2.754132104,-0.432610767,0.782811665,-1.37754907,0.51798328,-0.13129683,-0.133582636,-0.742275158,-0.036073178,0.001604087,0.378080365,-0.137409731,-0.160054766,-0.160578669,0.05346,0.038629888,1
4,-38.49175472,32.18810406,-6.176425408,1.836317576,13.1790477,-13.12382003,-18.18998691,8.066574775,-4.901162271,-5.417256879,6.146703337,5.187840727,-3.854088672,0.281009036,2.704276837,-1.48385156,-1.539394609,-0.020600531,2.745348236,-0.385418908,0.818333685,-1.382918808,0.486845731,-0.150057294,-0.106814566,-0.717648962,-0.016200694,-0.01800374,0.380343894,-0.114051081,-0.152650821,-0.190058501,0.072367557,0.039016753,1
5,-3.3997995,3.175645967,-27.26472442,21.94738647,-15.03026756,0.807668483,-16.08896235,7.226208632,-1.022645686,17.33245211,-3.941430334,10.43015385,13.63213482,5.352733187,-0.657670554,0.614733795,2.713304603,1.721995859,0.484410515,0.308995906,-0.789803192,-0.568344787,-0.81193141,-1.011359445,0.168079622,-0.840201676,-0.171844513,-1.056080914,-0.463349298,-0.287392509,0.407981992,-0.079804541,-0.044811169,-0.237295142,1
6,-6.074365478,-21.12036291,-32.72818431,-6.818015278,-6.585191246,8.69105784,-0.227794673,7.538771576,8.595757214,5.244383374,6.481503061,4.322720541,-3.083445548,-2.095853284,-3.849505398,0.846996814,-1.149408061,4.64100931,-1.126701968,2.054752778,2.168935311,1.515311581,-0.63106389,0.862151793,-0.123860786,0.363828302,-1.324569606,0.142988039,0.819563643,-0.215176285,-0.900250698,-0.233510982,-0.532258581,0.019425831,1
7,-14.6844951,-29.61790326,-43.37416491,5.325779828,-7.926595232,14.36614848,3.501085769,11.35998026,-2.184691821,-0.752469009,-0.826652416,4.516402281,-3.372122839,0.724774523,-1.01098051,-2.059793425,-2.497945763,-1.278127294,-0.846369838,-1.04607372,1.442408549,0.908289987,0.412789816,-0.161751089,0.663722632,0.246573249,0.574800129,0.16146178,-0.240808743,0.09283084,-0.073156679,-0.248834278,0.232311159,0.026837719,-1
8,-15.72145608,-28.56420124,-43.57784833,2.812556993,-8.097164461,16.25919269,5.142294942,9.900214715,-4.659887971,-4.931586343,1.024686565,0.93469014,-3.894671983,0.354331843,-1.428189321,-3.968996262,-1.189932609,-2.892345473,-0.06566243,0.088188971,-0.096907288,0.942359707,-0.165236582,-0.164179763,-0.106249319,-0.652953926,0.629107561,0.751315675,-0.100087438,0.374346748,0.264229884,0.359987404,0.546332658,-0.148172101,-1
9,47.26594808,50.29554055,-8.579411511,-12.08157609,-22.12402571,9.583666463,2.557295545,-2.325502394,14.4184303,-14.10871948,-11.94972647,2.96298582,-2.930835998,7.163149306,3.188890367,-1.522788709,3.862463242,2.47267327,1.377195412,2.365439754,1.089414769,0.496971612,0.173364475,0.453463817,-0.727090974,-0.719705242,0.029152934,0.158798583,-0.179332126,0.634204912,-0.055811548,0.213230603,0.062304527,0.037592121,1
