tr_date,tr_time,upgb,downgb
2018/3/1,0:00:00,0.0126949691772461,"0.2091579246521"
2018/3/1,1:00:00,0.0005609130859375,"0.000851421356201172"
2018/3/1,2:00:00,0.000632057189941406,"0.00174905776977539"
2018/3/1,3:00:00,0.000624666213989258,"0.0015118408203125"
2018/3/1,4:00:00,0.000762052536010742,"0.00175390243530273"
2018/3/1,5:00:00,0.00208773612976074,"0.0153380393981934"
2018/3/1,6:00:00,0.00155875205993652,"0.014624662399292"
2018/3/1,7:00:00,0.00455991744995117,"0.0369976234436035"
2018/3/1,8:00:00,0.00303643226623535,"0.0174141407012939"
2018/3/1,9:00:00,0.00124466896057129,"0.00277005195617676"
2018/3/1,10:00:00,0.00283853530883789,"0.00922757148742676"
2018/3/1,11:00:00,0.00456851959228516,"0.0041628360748291"
2018/3/1,12:00:00,0.00221100807189941,"0.029102725982666"
2018/3/1,13:00:00,0.00170611381530762,"0.00814398765563965"
2018/3/1,14:00:00,0.00505614280700684,"0.253959054946899"
2018/3/1,15:00:00,0.00167130470275879,"0.0557109832763672"
2018/3/1,16:00:00,0.00181079864501953,"0.0168262577056885"
2018/3/1,17:00:00,0.00229205131530762,"0.0127067470550537"
2018/3/1,18:00:00,0.0197883319854736,"0.0520090675354004"
2018/3/1,19:00:00,0.0132464504241943,"0.123214740753174"
2018/3/1,20:00:00,0.0984437656402588,"0.152568044662476"
2018/3/1,21:00:00,0.0393489933013916,"0.384890432357788"
2018/3/1,22:00:00,0.10748254776001,"1.40362107276917"
2018/3/1,23:00:00,0.011239652633667,"0.689278421401978"
2018/3/2,0:00:00,0.00424026489257813,"0.207987565994263"
2018/3/2,1:00:00,0.00172238349914551,"0.0243617248535156"
2018/3/2,2:00:00,0.000471248626708984,"0.000786495208740234"
2018/3/2,3:00:00,0.000405302047729492,"0.00102078437805176"
2018/3/2,4:00:00,0.000616321563720703,"0.00132671356201172"
2018/3/2,5:00:00,0.000656337738037109,"0.0138146877288818"
2018/3/2,6:00:00,0.00329068183898926,"0.0198184394836426"
2018/3/2,7:00:00,0.0139021396636963,"0.0405843925476074"
2018/3/2,8:00:00,0.0034720516204834,"0.0165633296966553"
2018/3/2,9:00:00,0.00179994583129883,"0.0087645435333252"
2018/3/2,10:00:00,0.0034754753112793,"0.0500175380706787"
2018/3/2,11:00:00,0.00229440689086914,"0.051477518081665"
2018/3/2,12:00:00,0.00258296012878418,"0.0167412376403809"
2018/3/2,13:00:00,0.0022225284576416,"0.00626967430114746"
2018/3/2,14:00:00,0.00352288246154785,"0.0123099327087402"
2018/3/2,15:00:00,0.0211008548736572,"0.011118688583374"
2018/3/2,16:00:00,0.0111305713653564,"0.0313669967651367"
2018/3/2,17:00:00,0.00727441787719727,"0.0426087760925293"
2018/3/2,18:00:00,0.014853343963623,"0.0652243614196777"
2018/3/2,19:00:00,0.00886164665222168,"0.0516505527496338"
2018/3/2,20:00:00,0.0278738403320313,"0.201690292358398"
2018/3/2,21:00:00,0.0411062812805176,"0.138982820510864"
2018/3/2,22:00:00,0.0279195880889893,"0.257907524108887"
2018/3/2,23:00:00,0.018537015914917,"0.872802686691284"
2018/3/3,0:00:00,0.00987461090087891,"0.24576117515564"
2018/3/3,1:00:00,0.00310830116271973,"0.0235993099212646"
2018/3/3,2:00:00,0.00845481872558594,"0.0334228992462158"
2018/3/3,3:00:00,0.000650835037231445,"0.000928821563720703"
2018/3/3,4:00:00,0.000862607955932617,"0.00248425483703613"
2018/3/3,5:00:00,0.00348636627197266,"0.0070128059387207"
2018/3/3,6:00:00,0.000752830505371094,"0.00152374267578125"
2018/3/3,7:00:00,0.00234091758728027,"0.0330299854278564"
2018/3/3,8:00:00,0.00571704864501953,"0.050349702835083"
2018/3/3,9:00:00,0.00636337280273438,"0.0346403694152832"
2018/3/3,10:00:00,0.00718302726745605,"0.0674951553344727"
2018/3/3,11:00:00,0.0054194164276123,"0.0328440570831299"
2018/3/3,12:00:00,0.0043299388885498,"0.0217252826690674"
2018/3/3,13:00:00,0.00307046890258789,"0.01865891456604"
2018/3/3,14:00:00,0.00404285430908203,"0.0130350017547607"
2018/3/3,15:00:00,0.00870718955993652,"0.0486056709289551"
2018/3/3,16:00:00,0.00473958015441895,"0.0313770389556885"
2018/3/3,17:00:00,0.010463752746582,"0.108319244384766"
2018/3/3,18:00:00,0.00978049278259277,"0.066819019317627"
2018/3/3,19:00:00,0.020678653717041,"0.113544874191284"
2018/3/3,20:00:00,0.066435375213623,"0.128865957260132"
2018/3/3,21:00:00,0.0305656051635742,"0.205117244720459"
2018/3/3,22:00:00,0.0472486782073975,"0.233317823410034"
2018/3/3,23:00:00,0.0196997547149658,"0.32679838180542"
2018/3/4,0:00:00,0.00506741523742676,"0.686821746826172"
2018/3/4,1:00:00,0.00316710472106934,"0.412575645446777"
2018/3/4,2:00:00,0.00140874862670898,"0.0042427921295166"
2018/3/4,3:00:00,0.00141593933105469,"0.0128576755523682"
2018/3/4,4:00:00,0.00148017883300781,"0.010726375579834"
2018/3/4,5:00:00,0.00207136154174805,"0.00438969612121582"
2018/3/4,6:00:00,0.0196169853210449,"0.0376594066619873"
2018/3/4,7:00:00,0.0101221370697021,"0.084138069152832"
2018/3/4,8:00:00,0.0183516502380371,"0.164882364273071"
2018/3/4,9:00:00,0.0096580982208252,"0.109623022079468"
2018/3/4,10:00:00,0.00761953353881836,"0.0666390037536621"
2018/3/4,11:00:00,0.00496307373046875,"0.0298917675018311"
2018/3/4,12:00:00,0.00544703483581543,"0.0183037281036377"
2018/3/4,13:00:00,0.00806473731994629,"0.0513711261749268"
2018/3/4,14:00:00,0.00529959678649902,"0.0468343448638916"
2018/3/4,15:00:00,0.00427233695983887,"0.0273121070861816"
2018/3/4,16:00:00,0.00460700988769531,"0.035104866027832"
2018/3/4,17:00:00,0.00801405906677246,"0.0431263828277588"
2018/3/4,18:00:00,0.0466893005371094,"0.118131351470947"
2018/3/4,19:00:00,0.0509796237945557,"0.157414712905884"
2018/3/4,20:00:00,0.0199657821655273,"0.163886690139771"
2018/3/4,21:00:00,0.0274427795410156,"0.141904649734497"
2018/3/4,22:00:00,0.0130747318267822,"0.231783237457275"
2018/3/4,23:00:00,0.0179944801330566,"0.443558082580566"
2018/3/5,0:00:00,0.0132410526275635,"0.510113973617554"
